"accuratePass" "lostCorners" "goalsConceded" "saves" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "totalTackle" "penGoalsConceded" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "blockedScoringAtt" "totalScoringAtt" "totalThrows" "totalSubOff" "shotOffTarget" "wonCorners" "cornerTaken" "penaltyConceded" "yellowCard" "ontargetScoringAtt" "fouls" "wonTackle" "wasFouled" "goals" "totalSubOn" "stats[2, ]" "totalOffside" "local" "id_partido" "penaltyWon" "goalAssist" "cleanSheet" "ownGoals" "penaltySave" "secondYellow" "redCard"
"14" "3" "1" NA NA NA "21" "1" "4" NA "90" "2" "2" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "9cjjs4piq3t12iltsfon52h91" "Defender" NA NA "7" NA NA NA NA NA NA NA "2" "3" "1" NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"16" NA "1" NA NA NA "21" "1" "2" NA "90" "1" "8" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "c4tkrrhs6o8ii0wnmi5y66cwl" "Midfielder" "1" "4" NA NA "1" "1" NA NA "1" "2" "5" "2" "1" "1" NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"17" NA NA NA NA "1" "20" "1" "2" NA "63" "2" "4" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "8etvu6b9z7sm2rg3wqkmchk9h" "Midfielder" NA NA NA "1" NA NA NA NA "1" NA "2" "2" NA NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"30" NA "1" NA NA NA "36" "1" NA NA "90" "2" "7" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "49tbu841s20wivafeostkffmd" "Midfielder" NA NA NA NA NA NA NA NA NA NA NA NA "2" NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" "1" NA NA NA NA NA NA
"17" NA "1" NA NA NA "23" "1" "2" NA "90" NA "11" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "8gxse7h6ucubo3weq7sp9dnf9" "Striker" NA "1" NA NA NA "1" NA NA NA "1" NA "2" NA NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"8" NA NA NA NA NA "10" "1" NA NA "53" NA "9" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "3rh7yurfuhun7zvoymgjb7g7p" "Striker" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"12" NA NA NA NA NA "18" "1" NA NA "84" NA "10" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "5qxvej7pcqqr989sba7k0jv85" "Striker" NA "1" NA "1" "1" NA "1" NA NA NA NA NA "2" NA NA NA "2" FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"1" NA "1" NA NA NA "2" NA "1" NA "27" NA "0" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "90i1zt922wb519mbo8hzwwpg5" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "1" NA NA "1" NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "et6offb5y91ch6mlol3dwcd0p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "c0my4y3kjf7jbbfujj5l8e8yx" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
