"accuratePass" "saves" "goalKicks" "totalPass" "gameStarted" "cleanSheet" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wasFouled" "fouls" "lostCorners" "totalSubOff" "ontargetScoringAtt" "totalScoringAtt" "totalOffside" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "shotOffTarget" "local" "id_partido" "wonCorners" "yellowCard" "cornerTaken" "goalsConceded" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "goalAssist" "goals" "ownGoals" "penaltyWon" "penaltySave" "secondYellow" "redCard"
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "br892lrczd8pow3crz8nain5d" "Japan" "ewbvz3dxtwr7hx331uftylrkl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "1" "7" "13" "1" NA "90" "1" "1" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "88k3tmpcg5ov13cd8b9rxyggl" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA "2" "1" "1" NA NA NA NA NA NA NA NA
"40" NA NA "56" "1" NA "90" "2" "3" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "alkcg8tdeobe46a0epj2zlas5" "Defender" "2" "16" "3" "2" "2" NA NA NA "1" NA NA NA NA "1" TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA "2" "2" NA "1" "1" NA NA NA NA NA NA NA
"55" NA NA "58" "1" NA "90" "3" "6" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "e3fa1ou90dirp8yjjterhrs9h" "Defender" "1" "1" "1" "1" NA NA NA NA NA NA NA NA NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA "2" NA "1" NA NA NA NA NA NA NA NA
"72" NA NA "83" "1" NA "90" "4" "5" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "6bcvcloym3tzxss5hgsw4h1at" "Defender" NA NA NA NA NA "1" NA NA "1" NA "1" NA NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA "2" NA "1" NA NA NA NA NA NA NA NA
"31" NA NA "38" "1" NA "90" NA "2" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "8dfe78e3mslilgxw4efeu295" "Defender" "1" "13" "1" NA NA "1" NA NA NA NA NA NA NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA "2" NA "1" NA NA NA NA NA NA NA NA
"33" NA NA "42" "1" NA "90" NA "8" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "50atlyy40e4sv5d0lbefss5w5" "Midfielder" "1" NA "2" "1" "1" NA NA "1" "1" NA NA NA NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA "2" NA "1" NA "1" "1" NA NA NA NA NA
"68" NA NA "91" "1" NA "90" "1" "4" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "3vnw015vllv7vzi79h7bplolx" "Midfielder" NA NA "1" "1" NA NA NA NA NA NA NA NA NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" "1" NA "2" "2" NA "1" NA NA NA NA NA NA NA NA
"21" NA NA "31" "1" NA "90" "3" "7" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "nygly0mk02elp9ylmq30xhw5" "Midfielder" NA NA "2" "1" "3" NA NA NA "2" NA "1" NA NA "1" TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA "2" NA "1" NA NA NA NA NA NA NA NA
"15" NA NA "21" "1" NA "89" NA "11" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "ddagc0khq0zh1ywynyci8nzrp" "Striker" "1" NA "1" "1" NA NA "1" "1" "1" "1" NA NA NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" "2" NA NA "2" NA "1" NA NA "1" NA NA NA NA NA
