"id_partido","equipo","torneo.x","goals","totalScoringAtt","ontargetScoringAtt","blockedScoringAtt","shotOffTarget","X._precisionTiros","torneo.y","PasesTotales","Total_accuratePass","X._precision","torneo","saves","penaltyConceded","totalClearance","penGoalsConcededEquipo","golesSalvados","totalTackle","wonTackle","fouls","yellowCard","wasFouled","totalThrows","totalOffside","lostCorners","wonCorners","foulsInofensivos","cortarJuegoContrario","juegoCortado"
"axc0o40jlws4uhhunom45n5uy","Paraguay U20","SUB20",0,7,1,1,5,14.2857142857143,"SUB20",233,104,44.6351931330472,"SUB20",7,0,24,0,31,20,19,9,1,13,22,1,5,3,8,28,39
"axc0o40jlws4uhhunom45n5uy","United States U20","SUB20",6,27,14,3,10,51.8518518518518,"SUB20",399,273,68.4210526315789,"SUB20",1,0,15,0,16,25,21,14,2,9,39,2,3,5,12,35,55
"axf3p3epvren82oajpkd8xb3e","Spain U20","SUB20",2,16,8,1,7,50,"SUB20",420,299,71.1904761904762,"SUB20",5,0,24,0,29,30,15,7,1,8,26,3,3,2,6,22,39
"axf3p3epvren82oajpkd8xb3e","United States U20","SUB20",2,16,7,1,8,43.75,"SUB20",268,174,64.9253731343284,"SUB20",5,0,12,0,17,13,11,8,0,7,40,0,2,3,8,19,50
"axhyvoe4hjt6f0mrgu0mucsq2","Japan U20","SUB20",6,29,16,5,8,55.1724137931034,"SUB20",459,384,83.6601307189542,"SUB20",3,1,19,0,22,18,14,12,1,7,26,12,4,13,11,26,58
"axhyvoe4hjt6f0mrgu0mucsq2","Paraguay U20","SUB20",0,4,3,0,1,75,"SUB20",178,79,44.3820224719101,"SUB20",10,1,27,0,37,24,17,8,0,11,20,0,13,4,8,25,35
"dfnzpf7rbcmv3a4tmi696ihd6","England","ADULTO",1,6,4,1,1,66.6666666666667,"ADULTO",460,345,75,"ADULTO",2,0,21,0,23,24,9,12,1,7,29,1,2,2,11,21,39
"dfnzpf7rbcmv3a4tmi696ihd6","United States","ADULTO",2,10,4,1,5,40,"ADULTO",344,233,67.7325581395349,"ADULTO",3,1,12,0,15,14,7,9,2,12,23,0,2,2,7,16,37
"dfsdht221ldoanxuhxfcvmr8q","Netherlands","ADULTO",1,15,5,2,8,33.3333333333333,"ADULTO",593,436,73.5244519392917,"ADULTO",3,0,36,0,39,41,33,13,2,21,32,4,12,4,11,46,61
"dfsdht221ldoanxuhxfcvmr8q","Sweden","ADULTO",0,11,3,2,6,27.2727272727273,"ADULTO",428,273,63.785046728972,"ADULTO",3,0,29,0,32,23,12,24,1,12,44,1,4,12,23,36,69
"di2yfzo0v66q7rs6nrfarg5ey","Brazil U20","SUB20",2,22,9,3,10,40.9090909090909,"SUB20",292,221,75.6849315068493,"SUB20",2,0,17,0,19,12,10,11,1,11,31,1,1,7,10,21,50
"di2yfzo0v66q7rs6nrfarg5ey","Mexico U20","SUB20",3,9,5,3,1,55.5555555555556,"SUB20",265,177,66.7924528301887,"SUB20",7,1,22,0,29,22,20,11,3,11,30,1,7,1,8,31,43
"di6gs3mzdo2yc71ujxcmijvxm","England U20","SUB20",3,14,8,1,5,57.1428571428571,"SUB20",368,267,72.554347826087,"SUB20",3,0,31,0,34,22,18,10,1,5,27,0,3,3,9,28,35
"di6gs3mzdo2yc71ujxcmijvxm","Korea DPR U20","SUB20",1,10,4,1,5,40,"SUB20",429,336,78.3216783216783,"SUB20",5,0,15,0,20,11,8,8,2,9,22,0,3,3,6,16,34
"di9glhotfbyf0lrh980kjnm22","Brazil U20","SUB20",1,24,6,12,6,25,"SUB20",411,343,83.4549878345499,"SUB20",2,1,8,1,11,12,7,11,2,11,23,2,2,11,9,18,47
"di9glhotfbyf0lrh980kjnm22","England U20","SUB20",1,6,3,1,2,50,"SUB20",294,220,74.8299319727891,"SUB20",5,0,32,0,37,15,13,13,3,11,16,3,11,2,10,26,32
"dicoh6s9rahf2wdz5hxineezu","Korea DPR U20","SUB20",2,12,8,1,3,66.6666666666667,"SUB20",333,241,72.3723723723724,"SUB20",3,0,47,0,50,14,11,20,3,13,36,0,5,2,17,31,51
"dicoh6s9rahf2wdz5hxineezu","Mexico U20","SUB20",1,14,4,4,6,28.5714285714286,"SUB20",315,213,67.6190476190476,"SUB20",6,0,29,0,35,31,28,13,2,19,28,0,2,5,11,41,52
"diflsmqqluvvtcae0pp24fecq","Brazil U20","SUB20",1,16,4,3,9,25,"SUB20",488,372,76.2295081967213,"SUB20",2,0,12,0,14,22,19,7,0,11,32,0,2,5,7,26,48
"diflsmqqluvvtcae0pp24fecq","Korea DPR U20","SUB20",2,8,4,2,2,50,"SUB20",285,181,63.5087719298246,"SUB20",3,0,40,0,43,23,17,12,0,6,39,6,5,2,12,29,53
