"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "yellowCard" "totalThrows" "totalTackle" "fouls" "wasFouled" "lostCorners" "totalClearance" "ontargetScoringAtt" "totalScoringAtt" "shotOffTarget" "wonCorners" "blockedScoringAtt" "totalSubOff" "cornerTaken" "goals" "stats[2, ]" "totalSubOn" "local" "id_partido" "ownGoals" "totalOffside" "goalAssist" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "redCard" "cleanSheet" "secondYellow" "penaltySave"
"25" "2" NA NA "39" "1" "116" "3" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "46g3sgi21hw0g1ymg7hk2astm" "Wing Back" "2" "1" "13" "2" "4" "2" "1" "1" NA "1" "1" NA NA "1" NA NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"8" "1" NA NA "15" "1" "86" "2" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "aqolu3ht5akq3qnt2h7rhw5t6" "Wing Back" NA NA "8" NA "1" NA "1" "5" NA NA NA NA NA "1" NA NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"31" "2" NA NA "40" "1" "107" "11" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "3mvocoie04y5ipvojiozy41yh" "Midfielder" "4" NA NA "5" "3" "5" "1" "1" NA "2" NA "2" "2" "1" NA NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA "1" NA NA NA NA NA NA NA NA NA
"20" "2" NA NA "32" "1" "120" "8" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "1wkcr4473tca3yl1suywrwyne" "Midfielder" "1" NA NA "2" "1" "1" NA "2" NA NA NA NA NA NA NA NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"16" "2" NA NA "21" "1" "120" "7" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "ckpzr2b77xmqaty1mhuu2clm2" "Midfielder" "2" NA "2" "2" NA "2" NA NA NA "2" "2" NA NA NA "4" NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA "1" NA NA NA NA NA NA NA NA
"7" "1" NA NA "19" "1" "73" "9" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "466ev7tumk8flx0gz9d0h15d6" "Striker" "1" NA NA "1" "2" NA NA NA NA "2" "2" "2" NA "1" NA NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"27" "2" NA NA "31" "1" "120" "10" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "2crf3grf6kbl06ol0bn3k006h" "Striker" "2" NA NA "3" NA "2" NA NA "2" "7" "3" "1" "2" NA "1" NA NA NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA "1" NA NA NA NA NA NA NA NA
"1" NA NA NA "2" NA "4" "0" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "a2phftw1el05opkrv4rkhbrsa" "Substitute" NA NA NA NA NA NA NA NA "1" "1" NA NA NA NA NA "1" NA "1" FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "6vx4qtszqrn4ynbmkkpvchpbe" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "2ti236v4hym9vyzik65fx1ylm" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "74fvkkk0hchgnfh0jzzfwqprd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
