"accuratePass" "penaltyConceded" "goalsConceded" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "penGoalsConceded" "minsPlayed" "fouls" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wonCorners" "yellowCard" "totalScoringAtt" "shotOffTarget" "wasFouled" "lostCorners" "totalOffside" "totalSubOff" "cornerTaken" "ontargetScoringAtt" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "redCard" "local" "id_partido" "saves" "cleanSheet" "goals" "penaltyWon" "goalAssist" "secondYellow" "penaltySave" "ownGoals"
"26" NA NA NA NA "33" "1" NA "84" "2" "2" "4" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "5q5q7pp5zwdy0x1vnutgeomad" "Defensive Midfielder" NA NA "3" NA NA NA NA NA NA NA "1" NA NA NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"27" NA NA NA NA "37" "1" NA "90" "3" "1" "8" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "djelmk2oafas355n2u0d1bumt" "Defensive Midfielder" "3" NA "5" NA NA NA NA NA "1" NA NA "1" NA NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA "1" NA NA NA NA NA NA
"7" NA NA NA NA "14" "1" NA "90" "2" "2" "11" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "374kcix9j7e1cob4uxmfncwyd" "Attacking Midfielder" NA NA NA "1" NA "4" "3" "1" NA NA NA NA "1" NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA "1" "1" "1" NA NA NA NA
"11" NA NA NA NA "17" "1" NA "90" "2" "1" "10" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "dvj6rdi2k0td95oxldbj6e28l" "Attacking Midfielder" "1" NA "2" NA NA "1" NA "1" NA NA NA NA "1" NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA "1" "1" NA NA NA NA NA
"15" NA NA NA NA "20" "1" NA "74" NA NA "7" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "ew2z151h1qotdycgfi3no4gkp" "Attacking Midfielder" NA NA NA "1" NA "1" NA NA NA NA "1" "1" NA "1" NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA "2" NA NA NA
"4" NA NA NA NA "7" "1" NA "67" NA NA "9" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "dusjrdiyxfadenwx4pjr7catx" "Striker" NA NA NA NA NA "1" NA "1" NA "1" "1" NA "1" NA NA NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA "1" NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "ao54hkua3ig0gn9dixeh41mnd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"1" NA NA NA NA "1" NA NA "6" NA NA "0" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "135s5jb8qkcap8ec8cv47p9sl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "dimmpdeaz0cbspzyx1h1frefp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "5z8ycnd0smdkumi5fgtzf7c9h" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
