"accuratePass";"goalsConceded";"saves";"penaltyFaced";"goalKicks";"totalPass";"gameStarted";"penGoalsConceded";"minsPlayed";"totalClearance";"formationPlace";"fecha";"idequipo";"equipo";"idjugador";"position";"nombres";"apellidos";"wonTackle";"lostCorners";"totalThrows";"totalTackle";"fouls";"wasFouled";"penaltyConceded";"secondYellow";"redCard";"totalScoringAtt";"totalSubOff";"totalOffside";"shotOffTarget";"yellowCard";"cornerTaken";"blockedScoringAtt";"wonCorners";"totalSubOn";"subposicion";"stats[2, ]";"local";"id_partido";"cleanSheet";"ontargetScoringAtt";"goals";"goalAssist";"penaltySave";"penaltyWon";"ownGoals"
"31";"2";NA;NA;NA;"39";"1";NA;"77";NA;"10";"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"3893inqanep5u2ivre7qo33kl";"Attacking Midfielder";"Juan Rodrigo";"Gutiérrez Arenas";"1";NA;NA;"1";"1";"4";NA;NA;NA;"1";"1";NA;NA;NA;"3";"1";"1";NA;NA;NA;TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;"1";NA
"28";"2";NA;NA;NA;"35";"1";NA;"90";NA;"7";"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"3gl531k6v6qumpxb5tp17nxlh";"Attacking Midfielder";"Felipe Andrés";"Reynero Galarce";NA;NA;"1";"1";NA;"1";NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;"1";"1";NA;NA;NA;NA
"29";"2";NA;NA;NA;"35";"1";NA;"90";"3";"9";"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"1pxq5s6wcmaf31abep37buz85";"Striker";"Carlos Andrés";"Muñoz Rojas";NA;NA;NA;NA;"2";NA;NA;NA;NA;"7";NA;"3";"4";NA;NA;"1";NA;NA;NA;NA;TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;"2";"1";NA;NA;NA;NA
"8";NA;NA;NA;NA;"9";NA;NA;"26";NA;"0";"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"3y2hn0w1apfwwgjph68ei8zqh";"Substitute";"Ronaldo Ignacio";"Abarca Toloza";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;"1";NA;"1";NA;NA;"1";"Attacker";NA;TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"15";NA;NA;NA;NA;"17";NA;NA;"13";NA;"0";"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"5b3nh0tqjkfh61wt99ebs4ded";"Substitute";"Rene Alexis";"Bugueño Zenteno";"1";NA;"2";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"Defender";NA;TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"6pgbp0zc89px2orgonrjtrpey";"Substitute";"Pablo Ignacio";"Cárdenas Baeza";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Defender";"0";TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"798gqeok40rm73beb28rxvmui";"Substitute";"Marcelo";"Filla";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Attacker";"0";TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"1qg7ahnsy82npoatncqdb5nf9";"Substitute";"Eric Orlando";"Godoy Zepeda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Defender";"0";TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"8";NA;NA;NA;NA;"13";NA;NA;"26";NA;"0";"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"ez9qzp0qsvuoml9wjnq96lzsa";"Substitute";"Lucas Ignacio";"Portilla Portilla";"1";"1";NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;"1";"1";"Midfielder";NA;TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-05-05Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"4qzt91tiriyndbjhaltykix91";"Substitute";"Miguel Angel";"Vargas Mañan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Goalkeeper";"0";TRUE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"16";"2";"1";"1";"13";"21";"1";"1";"90";"3";"1";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"6qtuyvswb6peytlot7n61o7h1";"Goalkeeper";"Fernando Javier";"Hurtado Pérez";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"19";"2";NA;NA;NA;"26";"1";"1";"90";"2";"3";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"c3uuj40k4cyrz6elrli1ssgyd";"Defender";"Nicolás Ignacio";"Peñailillo Acuña";NA;"2";"9";NA;NA;NA;NA;NA;NA;"2";NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"33";"2";NA;NA;NA;"36";"1";"1";"90";"4";"6";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"1ykeo7dtm6w39fd33n22t6bit";"Defender";"Alejandro";"Delfino";"1";"2";NA;"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"27";"2";NA;NA;NA;"34";"1";"1";"90";"5";"5";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"42oyy73s5avbjsnw4eg5wmket";"Defender";"Tomás Pablo";"Astaburuaga Montoya";NA;NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"42";"2";NA;NA;NA;"55";"1";"1";"90";NA;"2";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"9vt4ulv6w9gcl66wdzwu04id";"Defender";"Gonzalo Antonio";"Fierro Caniullán";"3";NA;"10";"3";"1";"1";NA;NA;NA;"1";NA;NA;NA;NA;"3";"1";"1";NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"53";"2";NA;NA;NA;"62";"1";"1";"90";"1";"4";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"1u0ljpfm8m7kwt1dfzjxstsd1";"Defensive Midfielder";"Gabriel Eduardo";"Sandoval Alarcón";"4";NA;"1";"5";"2";NA;"1";NA;NA;"1";NA;NA;NA;"1";NA;"1";"1";NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"15";"2";NA;NA;NA;"22";"1";"1";"90";NA;"11";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"egg8yn20s67x5awg9qupjrv9";"Midfielder";"Felipe Ignacio";"Flores Chandia";NA;NA;NA;NA;"1";"2";NA;NA;NA;"4";NA;NA;"1";NA;NA;"1";"2";NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;"2";"1";NA;NA;NA;NA
"11";"2";NA;NA;NA;"15";"1";"1";"69";NA;"10";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"8a06kc2fx1lr9nmjwishg6l79";"Midfielder";"Jason";"Flores Abrigo";NA;NA;NA;NA;NA;"1";NA;NA;NA;"1";"1";NA;NA;NA;NA;"1";"1";NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"40";"2";NA;NA;NA;"46";"1";"1";"90";NA;"8";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"c1w8b6hy98azzdz48pw8uago9";"Midfielder";"Ricardo Darío";"Blanco";NA;NA;"1";NA;NA;"1";NA;NA;NA;"8";NA;NA;"1";NA;"7";"3";"3";NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;"4";"1";NA;NA;NA;NA
"16";"2";NA;NA;NA;"16";"1";"1";"69";"1";"7";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"cvgwdjc34ayove5oev1a0epk9";"Midfielder";"Marco Antonio";"Collao Ramos";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;"1";NA;NA;NA
"11";"2";NA;NA;NA;"18";"1";"1";"86";"1";"9";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"57308iu09mtmdg9tapbvp4qmt";"Striker";"Adrián Martín";"Balboa Camacho";NA;NA;"1";NA;"2";NA;NA;NA;NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;"1";NA;"1";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"3u8o54ozv8frmg0dct2uqnt1x";"Substitute";"Branco";"Ampuero Vera";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Midfielder";"0";FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"3gexir2gjtsiqqvzqrp66i7kl";"Substitute";"Nicolás";"Araya Bruna";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Goalkeeper";"0";FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"4dpu2v9lxqi4hpnfod00w4x5";"Substitute";"José Daniel";"Bandez Salazar";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Attacker";"0";FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"13";NA;NA;NA;NA;"15";NA;NA;"21";NA;"0";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"8davjer5vpeg0pa07h5mszzyt";"Substitute";"Eduard Alexander";"Bello Gil";"2";NA;NA;"2";NA;NA;NA;NA;NA;"1";NA;NA;"1";NA;"2";NA;"1";"1";"Midfielder";NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"8q8f0c9hgtv9ibnkburojxyp5";"Substitute";"Salvador";"Cordero";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Defender";"0";FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;"4";NA;"0";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"2ddf8xxnqz6tehsqw5cg5x0b9";"Substitute";"Tobías Nahuel";"Figueroa";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"Attacker";NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"18";NA;NA;NA;NA;"21";NA;NA;"21";"1";"0";"2019-05-05Z";"1f72vqlndphmzn45x0nhdqk3e";"Deportivo Antofagasta";"5potd9vqoymfuhbjtg2w6hjv9";"Substitute";"Oscar Ignacio";"Hernández Polanco";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"1";"Midfielder";NA;FALSE;"cyzxu6vikbsrjxls3qdrhlg8a";NA;NA;NA;NA;NA;NA;NA
"16";"1";"2";NA;"13";"25";"1";NA;"90";NA;"1";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"678u2ogdvkqfs0e2wa4gr6wgl";"Goalkeeper";"Sebastián Alberto";"López";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"50";"1";NA;NA;NA;"62";"1";NA;"90";NA;"3";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"4rq5t22hdh69nxztwxsr8dfpx";"Defender";"Marcelo";"Jorquera";"2";NA;"17";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";NA;"1";NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"28";"1";NA;NA;NA;"31";"1";NA;"90";"2";"6";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"aoa2cqk79rtkevrzz2x5h0m39";"Defender";"Rodolfo Antonio";"González Aránguiz";"1";NA;NA;"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"27";"1";NA;NA;NA;"34";"1";NA;"90";"7";"5";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"1qg7ahnsy82npoatncqdb5nf9";"Defender";"Eric Orlando";"Godoy Zepeda";NA;NA;NA;"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"16";"1";NA;NA;NA;"24";"1";NA;"90";"1";"2";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"798gqeok40rm73beb28rxvmui";"Defender";"Marcelo";"Filla";"2";NA;"4";"6";NA;"1";NA;NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"60";"1";NA;NA;NA;"72";"1";NA;"90";"1";"4";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"cp6uoakwtmaf38mqiw19rnzyt";"Defensive Midfielder";"Rodrigo Andrés";"Ureña Reyes";"1";NA;NA;"1";"1";NA;NA;NA;NA;"2";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;"2";"1";NA;NA;NA;NA
"41";"1";NA;NA;NA;"52";"1";NA;"90";NA;"8";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"2hu7n83g2mvekmluq0tmz36d";"Defensive Midfielder";"Eduardo Ignacio";"Farías Diaz";"3";NA;NA;"5";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"26";"1";NA;NA;NA;"31";"1";NA;"61";NA;"11";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"1ize7q7nwniiqjwxz0jllwded";"Attacking Midfielder";"Sebastián Edgardo";"Cespedes Reyes";"2";NA;NA;"2";NA;NA;NA;NA;NA;"4";"1";NA;"1";NA;NA;"1";"1";NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;"2";NA;NA;NA;NA;NA
"55";"1";NA;NA;NA;"68";"1";NA;"75";NA;"10";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"sq3mptpiqr5b85q0jiw12nkl";"Attacking Midfielder";"Marcelo";"Cañete";NA;NA;NA;NA;"2";"3";NA;NA;NA;"3";"1";NA;"2";"1";"2";NA;"1";NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;"1";NA;"1";NA;NA;NA
"21";"1";NA;NA;NA;"26";"1";NA;"90";NA;"7";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"3gl531k6v6qumpxb5tp17nxlh";"Attacking Midfielder";"Felipe Andrés";"Reynero Galarce";"1";NA;NA;"1";"2";NA;NA;NA;NA;"3";NA;"1";"1";NA;NA;NA;"1";NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;"2";"1";NA;NA;NA;NA
"8";"1";NA;NA;NA;"9";"1";NA;"61";NA;"9";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"5g9e48itpezlbdp44vio2h42x";"Striker";"César Rodrigo";"Villagra Olmedo";NA;NA;NA;NA;"1";"1";NA;NA;NA;NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"9vodgh0t0ta666ek9h1fmxwid";"Substitute";"Rodrigo Sergio";"Cabrera Sasía";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Defender";"0";TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"6pgbp0zc89px2orgonrjtrpey";"Substitute";"Pablo Ignacio";"Cárdenas Baeza";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Defender";"0";TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"5u0nzn999fpgos6krvv1qcxxx";"Substitute";"Carlos Humberto";"Escobar Ortiz";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Attacker";"0";TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"11";NA;NA;NA;NA;"12";NA;NA;"15";NA;"0";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"3893inqanep5u2ivre7qo33kl";"Substitute";"Juan Rodrigo";"Gutiérrez Arenas";NA;NA;NA;"1";NA;"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;"1";"Midfielder";NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;"1";NA;NA;NA;NA;NA
"11";NA;NA;NA;NA;"15";NA;NA;"29";NA;"0";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"1pxq5s6wcmaf31abep37buz85";"Substitute";"Carlos Andrés";"Muñoz Rojas";NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";"Attacker";NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;"1";NA;NA;NA;NA;NA
"26";NA;NA;NA;NA;"27";NA;NA;"29";NA;"0";"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"9l8hpz13d78bw7b77iclsnahh";"Substitute";"Israel Elías";"Poblete Zúñiga";"2";NA;NA;"2";NA;"2";NA;NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;"1";"Midfielder";NA;TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2019-09-15Z";"eizgmllil1zrzpk6zbue0hl7m";"Cobresal";"4qzt91tiriyndbjhaltykix91";"Substitute";"Miguel Angel";"Vargas Mañan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Goalkeeper";"0";TRUE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"24";"2";"7";NA;"11";"35";"1";NA;"90";NA;"1";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"s018lxkr8e6bpxldf7vhxxhx";"Goalkeeper";"Cristian";"Campestrini";NA;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"50";"2";NA;NA;NA;"59";"1";NA;"90";NA;"3";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"adl28qm975eh8twc47xds7845";"Defender";"Dylan Patricio";"Zúñiga Valenzuela";"3";NA;"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"61";"2";NA;NA;NA;"71";"1";NA;"90";"4";"6";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"gy2us7bvt80iil2vmzdmxrrp";"Defender";"Cristian Fernando";"Suarez Figueroa";NA;"2";NA;"1";NA;"2";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"40";"2";NA;NA;NA;"51";"1";NA;"90";"1";"5";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"cjmai4tgydff5g6ykyrclt8et";"Defender";"Bastián";"San Juan Martínez";"1";NA;NA;"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"14";"2";NA;NA;NA;"18";"1";NA;"53";NA;"2";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"7pfg5o00t7x7u4w0raxp0obmd";"Defender";"Camilo Bryan";"Rodríguez Pedraza";NA;NA;"8";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"51";"2";NA;NA;NA;"58";"1";NA;"90";NA;"11";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"5io2106rxpshzsc39qigm1nth";"Midfielder";"Bryan Andrés";"Carvallo Utreras";NA;NA;NA;"2";NA;"2";NA;NA;NA;"3";NA;NA;"2";NA;NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;"1";"1";NA;NA;NA;NA
"39";"2";NA;NA;NA;"47";"1";NA;"90";NA;"8";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"1g6yxzrygguwxhf7r4d8zor56";"Midfielder";"Benjamín";"Berríos";"1";NA;"2";"1";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"43";"2";NA;NA;NA;"54";"1";NA;"90";"1";"4";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"60a2pk7zaclwwq7n9qchurxlh";"Midfielder";"Diego Felipe Andrés";"Orellana Medina";"2";NA;"5";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"15";"2";NA;NA;NA;"17";"1";NA;"63";"1";"7";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"1r0ykfguzzb2l7dthg9p85qeh";"Midfielder";"Pedro  Iván";"Sánchez Torrealba";NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;"1";NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;"1";NA;NA;NA
"11";"2";NA;NA;NA;"15";"1";NA;"90";NA;"9";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"4amvjmzixl30pg91ep6b9xhx";"Striker";"Álvaro Sebastián";"Ramos Sepúlveda";"1";NA;NA;"1";"2";"1";NA;NA;NA;"4";NA;NA;"2";NA;NA;NA;"1";NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;"2";NA;NA;NA;NA;NA
"10";"2";NA;NA;NA;"16";"1";NA;"69";NA;"10";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"clsskbmcp1npmlf4obp7aje8l";"Striker";"Isaac Alejandro";"Díaz Lobos";NA;NA;"1";"1";"3";"1";NA;NA;NA;"2";"1";NA;"2";"1";NA;NA;NA;NA;NA;NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
"7";NA;NA;NA;NA;"9";NA;NA;"37";NA;"0";"2019-09-15Z";"9dqkgu00tn42928lrrxlis95a";"Everton";"6sorhqf5jakifbpurjdisqyfp";"Substitute";"José Fernando";"Arismendi Peralta";NA;NA;NA;NA;"2";NA;NA;NA;NA;"1";NA;NA;"1";NA;NA;NA;NA;"1";"Midfielder";NA;FALSE;"23ln4ag8cp66u4le4hmogbyay";NA;NA;NA;NA;NA;NA;NA
