"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "lostCorners" "totalScoringAtt" "totalThrows" "totalTackle" "shotOffTarget" "fouls" "wasFouled" "ontargetScoringAtt" "goals" "totalSubOff" "wonCorners" "yellowCard" "cornerTaken" "totalSubOn" "stats[2, ]" "local" "id_partido" "blockedScoringAtt" "totalOffside" "goalAssist" "cleanSheet" "ownGoals" "redCard" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "penaltySave" "secondYellow"
"31" "1" NA NA "38" "1" "90" "1" "4" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "bazw3ymh8pk8ju8ydwhkihjvt" "Defensive Midfielder" "3" NA NA NA "6" NA "1" "3" NA NA NA NA NA NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"24" "1" NA NA "32" "1" "90" "1" "8" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "a4nxfhy5n3xsbml9dgo8ynfmx" "Defensive Midfielder" "1" NA NA NA "3" NA "1" "1" NA NA NA NA "1" NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"31" "1" NA NA "36" "1" "90" NA "11" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "7y6f63pj7horkzhdzbge02rqh" "Attacking Midfielder" NA NA "2" "1" NA NA "1" "1" "1" NA NA "1" NA "3" NA NA FALSE "e2l76382fu3p92fi1kcf2qne" "1" "1" NA NA NA NA NA NA NA NA NA NA
"22" "1" NA NA "26" "1" "68" NA "10" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "55yy0p6johtu9nxk90zsfctt5" "Attacking Midfielder" "2" NA "1" NA "2" "1" "2" NA NA NA "1" "1" NA NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"32" "1" NA NA "43" "1" "87" NA "7" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "693z0rzfh3m0h0wsma9v8c9ux" "Attacking Midfielder" "1" NA "4" NA "1" "2" "2" NA "1" NA "1" "1" NA "2" NA NA FALSE "e2l76382fu3p92fi1kcf2qne" "1" NA NA NA NA NA NA NA NA NA NA NA
"9" "1" NA NA "10" "1" "90" "1" "9" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "61ohk3t9vkn9hgvr8lurrtwix" "Striker" NA NA "5" NA NA "1" NA "3" "4" "3" NA "2" NA NA NA NA FALSE "e2l76382fu3p92fi1kcf2qne" NA "2" NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "3q6jhwert6ah0ll2wq69k93ah" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "b44clc8j4xvfacuwk177saxyi" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA "5" NA "20" "2" "0" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "94pt7ikxi5cdjhbqf7vi9xg4p" "Substitute" NA NA NA "4" "1" NA NA NA NA NA NA NA NA NA "1" NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "6hq92cx2829wfuzxmfhg1xpm1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
